sample_idx,f1,f2,f3,f4,status
127,0.1814164810682154,-0.14707544123356364,0.00211288092043993,-0.1985380847780635,train
128,0.022355820699800244,0.03640522693746373,0.015510848644990291,-0.1321995789995858,train
129,0.2384269120096535,-0.0941999546706026,0.040392704279125474,-0.4567102745086501,train
130,-0.17812134120754186,0.31975584809342883,0.027747097868875248,-0.15151213986889747,train
131,-0.1646920479821059,0.26655164888033855,0.017602772360086727,-0.024587635103072603,train
132,0.026183404298001145,-0.02648123919745421,-0.023067245156129013,0.41211186180692694,train
133,-0.29270616135047833,0.3602267802526181,0.005856245243951896,-0.04484311026813784,train
134,-1.141811821119966,0.6073066053286365,-0.8563752201580281,1.8785737974747518,train
135,-0.2252067176436376,0.26095191277700186,0.20492537272276015,-0.051571021421779634,train
136,-0.008644907291219483,-0.014466476708739684,0.06613717312778566,-0.10187811348473724,train
137,-0.024725750322911036,-0.22890370785550873,-0.018542715112199515,0.02202272622783183,train
138,0.47163550065387805,-0.38750594073030276,0.028620415571547667,-0.5059758955891265,train
139,-0.04701795612323667,0.2112851283841909,0.4580218205881048,-0.2906729537197583,train
140,-0.030109653531472602,0.02025435234543249,-0.1083845384862282,-0.2648916963807245,train
141,0.6835296180707299,-0.6263684871152672,0.030377285910375806,-0.6053400317983103,train
142,0.5774050516445438,-0.475842497754835,0.0377568558434406,-0.6166134919682243,train
143,0.3379716179595143,-0.2511933935711148,0.06431948142987715,0.044022219592675216,train
144,-0.1709797765377601,0.3223857655633049,0.4846589398528285,-0.17596243851956234,train
145,0.40394706220506876,-0.3031644236938796,0.034812331364609185,-0.49011561699627465,train
146,-0.0030989335517119096,0.03522223579200484,0.6684029186308171,-0.426613727943204,train
147,0.35187969819302134,0.030947809837996915,0.006226234024843347,0.036117309712566936,train
148,-0.3710828196094154,0.6576548546438262,0.9405719976358289,-0.2988594369034621,train
149,-0.49824874766577865,0.6688018094926853,0.024705000704082547,0.021969037341976305,train
150,0.504743599727308,-0.03535794921215629,-1.5325455733080178,0.5954037035440949,train
151,-0.8805643114664548,0.7923782846799055,0.19762105975439836,-0.14468041923328645,train
152,-0.7270217096927033,0.7697719767725393,-0.012819300202290274,-0.11193667664441082,train
153,-0.5849980335095776,0.6134098402349697,-0.011892399942902199,-0.09039479968237107,train
154,-0.2559627407899353,-0.018095828125413105,0.48689471403399376,-0.08536550773618079,train
155,0.07552691209975038,-0.09881657744187056,-0.09865410874309188,-0.008395054772922794,train
156,0.8563718559143952,-0.5011672419521004,0.5213236638711486,-1.3187005910316039,train
157,-0.036657620078580366,-0.023932136155484895,-0.42137287434095644,0.018735491967866058,train
158,-0.021660499596589666,0.1196888831061958,0.01785624555397336,-0.17807158987101768,train
159,-0.09109725329629387,-0.3984953991715766,0.12324805877989137,-0.6847251622428808,train
160,0.3835841689478876,-0.35953562119942395,-0.12412991968665787,-0.32384221773574007,train
161,-0.6458024517367011,0.8320882010451586,0.8095114954903455,0.0971816899104422,train
162,-0.24556673596306228,0.2743720163225464,-0.0016751731891665178,-0.03829554488383963,train
163,-0.2170762299528272,0.5222507278765087,0.062144187532731765,-0.4465569291716831,train
164,-0.5477405609614441,0.776789055565048,0.8747388735554766,-0.05794761752591171,train
165,-0.2727115131301343,0.30527099092633825,0.2197488637839724,0.1321299508336473,train
166,0.6003265062447649,-0.5117908311397243,-0.05948286655591495,-0.6073885044125173,train
167,-0.7258762440105471,1.0645933398221517,1.2523755968541408,-0.14629410266826837,train
168,0.06305240361686054,0.16530874137058982,-0.255136492650182,0.5388658741734926,train
169,0.14083798046952434,-0.029467577794016042,-0.5778293729794557,0.2781993939359164,train
170,-0.8874979987535256,0.7709811957390461,-0.05196563891042369,0.8695458565011508,train
171,-0.4657978432249956,0.3104188839949407,-0.1833957133039682,0.6425385888368023,train
172,-0.2256274591020846,0.6237626465945127,1.1647864957079137,-0.6240599874459607,train
173,-0.015061712634570734,-0.1259761229562176,-0.09430078873446485,-0.050008109023211206,train
