sample_idx,0,1,2,3,4,5,status
71,0.05384193268603954,0.5161372965353062,-1.0720594143797553,-0.21265079088945882,,-0.0628417416447431,train
72,,-0.5582063012378279,0.7641587277196281,-0.044102479110308956,0.06489975761893722,-0.20399370918688217,train
73,-0.40907056568473804,0.0739110354465603,-0.22100019470913712,-0.01862250379938546,0.09497322868036118,0.4528223979915609,train
74,-0.1866502414444704,-0.698041566639912,0.44930628838090536,-0.2661017774173915,0.4792733988697242,0.2158007644014055,train
75,-0.40669122504533495,-0.15765165723780594,0.5438609185692845,0.5719235925392261,-0.3739855619764614,-0.21127346166195604,train
76,0.5083181641610249,-0.36718182530852206,0.14840722445478527,-0.06387642082898426,0.1604592632732571,-0.3481475779958706,train
77,-0.44422735570111344,-0.6887543448344606,-0.27261158659756834,0.01215507919132066,0.1679989712338674,1.1891218353619635,train
78,0.52232171650786,-0.3988382797794836,0.13615353950744646,-0.2543989897100285,-0.16411896314443797,0.18351850873056308,train
79,0.08042728767327012,-0.3364062647704875,0.25916866976564124,-0.8466332086856994,-0.24892100663072703,1.0755177811126944,train
80,-0.04570379966872773,0.538091271459514,-0.14322086705329834,0.05921793941747594,-0.18433520248366075,-0.22718191546082422,train
81,,0.14706565630765372,-0.494730887056802,0.20791981901848983,0.500468317723874,0.08963703838814707,train
82,,-0.2969468225918743,-0.7642475699768703,-0.1679961849687528,,-0.6428541199550812,train
83,,-0.7307707115846687,0.5871830926809544,0.3182084398081757,-0.42580763433707225,-0.7017240585043756,train
84,-1.3187861222377406,-0.21040187769882587,1.220157287430934,0.18477125200020258,-0.2343893257609299,0.2615312357299873,train
85,-0.6589294664090226,-0.07583555513613557,0.08239897647450387,-0.050114625465473184,0.4491045979347176,0.2200948997374546,train
86,,-0.2526131273954342,0.5137650093442829,0.8122512073510049,-0.37579825974228964,-0.363784308756142,train
87,0.3480054756197089,-0.37064788608390326,0.3993317647592126,-0.5606587485702453,0.4539857050212583,-0.23864797717385577,train
88,,0.8018961452351934,-0.13589911199070479,-0.46333139818050895,-0.1408136557837221,0.24649202391479152,train
89,-0.44512489253966714,0.5853173717754656,0.00736341814197089,0.7853959805338842,-0.8683736367861442,-0.10950355124792902,train
90,-0.5556917587777869,-0.14492306078980743,0.3185358339624442,0.07291455611877473,0.0884061598093333,0.1844985598934914,train
91,-0.012722788944350638,-0.5769020287394591,0.20623463995047428,0.14324016016789842,0.07151158971156485,0.1661643621702833,train
92,0.1421997669145567,0.9702580933970543,-0.05074167409935898,-0.20654868858081926,-0.3396291002206088,-0.5081204639305562,train
93,-0.3672254763804118,-0.21401148673018033,0.1661686205111541,0.31429072837024175,0.2571246526146356,-0.17152593338019081,train
